FIPS,ARIMA
37081,2022-11-27
37083,2023-04-29
37085,
37087,2023-04-11
37089,2022-12-29
37091,
37093,
37095,2023-07-05
37097,2023-06-11
37099,2023-04-09
37101,2023-08-31
37103,2024-02-17
37105,2023-01-27
37107,2023-02-16
37109,2023-07-14
37111,2023-11-26
37113,
37115,
37117,
37119,2022-08-31
37121,2023-11-24
37123,2024-07-20
37125,2023-01-30
37127,2023-03-03
37129,2022-10-10
37131,2024-05-04
37133,
37135,2022-02-16
37137,2023-04-26
37139,
37141,2023-10-18
37143,
37145,2023-06-13
37147,2023-05-26
37149,
37151,2023-12-22
37153,2024-06-12
37155,
37157,2023-12-12
37159,2024-08-01
37161,2024-08-24
37163,2024-01-21
37165,2023-12-04
37167,
37169,
37171,2023-07-03
37173,2022-12-07
37175,2024-07-13
37177,
37179,2022-11-21
37181,
37183,2022-03-27
37185,
37187,
37189,2023-02-05
37191,2023-04-03
37193,2024-05-25
37195,2023-06-14
37197,2024-01-27
37199,2023-10-26
38001,
38003,2022-10-31
38005,2024-03-16
38007,
38009,
38011,2024-06-02
38013,
38015,2023-08-11
38017,2022-10-29
38019,2024-02-21
38021,2023-07-27
38023,
38025,
38027,2024-03-27
38029,
38031,2023-05-25
38033,
38035,2022-11-25
38037,
38039,
38041,2024-07-07
38043,2024-06-24
38045,2024-04-17
38047,
38049,
38051,2023-11-16
38053,
38055,2023-11-29
38057,
38059,2023-10-21
38061,2023-10-09
38063,2022-11-30
38065,
38067,2023-06-10
38069,
38071,2023-05-24
38073,2023-05-19
38075,
38077,2023-08-24
38079,2022-08-10
38081,2023-08-11
38083,
38085,
38087,
38089,2024-04-15
38091,2024-08-23
38093,2023-11-09
38095,2024-06-16
38097,2024-02-23
38099,2023-01-18
38101,
38103,
38105,
39001,
39003,
39005,
39007,
39009,
39011,
39013,
39015,
39017,
39019,
39021,
39023,
39025,
39027,
39029,
39031,
39033,2024-07-25
39035,
39037,
39039,
39041,
39043,
39045,
39047,
39049,
39051,
39053,
39055,
39057,
39059,
39061,
39063,
39065,
39067,
39069,
39071,
39073,
39075,
39077,
39079,
39081,
39083,
39085,
39087,
39089,
39091,2024-04-09
39093,
39095,
39097,
39099,
39101,
39103,2022-10-12
39105,
39107,
39109,
39111,2022-10-10
39113,
39115,2024-07-24
39117,
39119,2024-01-13
39121,
39123,
39125,
39127,
39129,
39131,
39133,
39135,
39137,
39139,2024-05-31
39141,
39143,
39145,
39147,
39149,
39151,
39153,
39155,
39157,
39159,
39161,
39163,
39165,
39167,
39169,
39171,
39173,
39175,
40001,2024-05-28
40003,2024-08-03
40005,
40007,
40009,
40011,2024-06-09
40013,
40015,2022-11-18
40017,2022-12-02
40019,2024-05-02
40021,2023-04-14
40023,
40025,
40027,2022-07-25
40029,2024-07-05
40031,2022-08-05
40033,2023-08-25
40035,2023-05-06
40037,2023-12-05
40039,2023-11-08
40041,2024-03-26
40043,
40045,
40047,2023-07-09
40049,
40051,
40053,
40055,
40057,
40059,
40061,2024-01-11
40063,2024-05-24
40065,2022-11-26
40067,
40069,
40071,2024-03-31
40073,2023-11-14
40075,2024-01-29
40077,
40079,
40081,
40083,
40085,
40087,2024-02-10
40089,
40091,2024-02-17
40093,2024-08-04
40095,2024-08-06
40097,2024-06-03
40099,2024-07-03
40101,2023-07-07
40103,2023-06-27
40105,2023-08-01
40107,2024-04-14
40109,2022-07-04
40111,
40113,
40115,
40117,2023-09-28
40119,2023-09-28
40121,2023-05-21
40123,2023-10-28
40125,2023-10-28
40127,
40129,
40131,2023-07-03
40133,2023-08-21
40135,2024-06-09
40137,2024-01-12
40139,2024-06-13
40141,2023-09-11
40143,2022-07-26
40145,2023-10-01
40147,2023-12-15
40149,
40151,
40153,
41001,2022-07-05
41003,2022-04-15
41005,2022-04-04
41007,2023-02-05
41009,2023-05-07
41011,2023-09-18
41013,2023-11-06
41015,2023-03-21
41017,2022-05-25
41019,
41021,2023-08-28
41023,
41025,2024-02-17
41027,2021-12-23
41029,2023-07-01
41031,2023-01-28
41033,2024-01-26
41035,2023-08-19
41037,
41039,2022-08-27
41041,2022-08-04
41043,2024-06-11
41045,2023-05-04
41047,2022-11-12
41049,2022-09-14
41051,2022-01-10
41053,2022-10-22
41055,2023-03-24
