FIPS,ARIMA
1001,
1003,
1005,
1007,
1009,
1011,
1013,
1015,
1017,
1019,
1021,
1023,
1025,
1027,
1029,
1031,
1033,2024-08-08
1035,2024-01-18
1037,
1039,
1041,
1043,
1045,
1047,
1049,
1051,
1053,
1055,
1057,
1059,
1061,
1063,
1065,
1067,
1069,
1071,
1073,2023-04-25
1075,
1077,
1079,2024-02-27
1081,
1083,
1085,
1087,2023-12-29
1089,2022-10-16
1091,
1093,
1095,
1097,
1099,
1101,2023-03-07
1103,
1105,
1107,
1109,
1111,
1113,2024-02-07
1115,
1117,
1119,
1121,
1123,
1125,
1127,
1129,
1131,
1133,
2013,2022-07-22
2016,2023-10-29
2020,2022-12-08
2050,2022-05-16
2060,2021-12-06
2068,
2070,
2090,2022-11-06
2100,2022-07-12
2105,2022-07-13
2110,2022-06-05
2122,2024-06-13
2130,2023-06-03
2150,2023-09-30
2158,2023-04-10
2164,2022-09-25
2170,
2180,2022-05-07
2185,2023-11-14
2188,2022-09-07
2195,2022-06-04
2198,2024-07-20
2220,2022-03-27
2230,2023-04-02
2240,2024-03-25
2261,2024-03-30
2275,2023-04-08
2282,2022-04-01
2290,2022-12-08
4001,2021-12-06
4003,2022-09-09
4005,2022-03-31
4007,2023-03-04
4009,2022-12-22
4011,2023-06-12
4012,2023-02-28
4013,2023-01-08
4015,2024-04-03
4017,2022-03-17
4019,2022-05-24
4021,2023-04-26
4023,2021-12-06
4025,2022-10-23
4027,2022-04-28
5001,2023-05-22
5003,
5005,2024-02-01
5007,2022-12-26
5009,
5011,2023-12-22
5013,
5015,2023-11-17
5017,2023-08-06
5019,
5021,2024-05-10
5023,
5025,2023-12-13
5027,
5029,2023-07-28
5031,2023-08-18
5033,2024-08-18
5035,2023-10-18
5037,2024-04-23
5039,2023-04-25
5041,2022-10-31
5043,2023-12-31
5045,2023-07-26
5047,
5049,
5051,2024-01-30
5053,2023-01-02
5055,
5057,
5059,
5061,
5063,2023-08-30
5065,2024-01-14
5067,
5069,
5071,
5073,
5075,2024-04-01
5077,
5079,
5081,
5083,2024-05-20
5085,2024-04-13
5087,2024-04-14
5089,
5091,
5093,
5095,2023-02-12
5097,
5099,
5101,
5103,
5105,2023-10-25
5107,2024-08-04
5109,
5111,2023-11-06
5113,
5115,2023-12-15
5117,
5119,2022-10-08
5121,
5123,
5125,2022-06-14
5127,
5129,
5131,
5133,
5135,
5137,
5139,2023-09-14
5141,
5143,2022-09-14
5145,
5147,2023-09-05
5149,2023-12-04
6001,2022-01-04
6003,
6005,2023-01-01
6007,2023-01-14
6009,
6011,2023-03-08
6013,2022-01-04
6015,2023-11-07
6017,2022-11-06
6019,2022-07-25
6021,2023-03-29
6023,2022-07-09
6025,2022-01-22
6027,
6029,2022-12-29
6031,2023-01-25
6033,2023-04-11
6035,2024-04-01
6037,2022-04-23
6039,2022-11-26
6041,2021-12-06
6043,
6045,2022-06-25
6047,2022-12-18
6049,
6051,
6053,2022-06-18
6055,2022-03-06
6057,2022-09-25
6059,2022-03-30
6061,2022-06-02
6063,
6065,2022-12-16
6067,2022-05-11
6069,2022-06-17
6071,2023-01-11
6073,2022-09-04
6075,2021-12-20
6077,2022-07-15
6079,2022-12-01
6081,2022-01-01
6083,2022-04-23
6085,2021-12-12
6087,2022-03-12
6089,2023-02-12
6091,
6093,2023-07-01
6095,2022-05-03
6097,2022-02-19
6099,2022-08-05
6101,2022-10-21
6103,2023-02-02
6105,
6107,2022-12-17
6109,2022-11-23
6111,2022-06-12
6113,2022-03-14
6115,2023-04-05
8001,
8003,
8005,
8007,
8009,
8011,
8013,
8014,
8015,
8017,
8019,
8021,
8023,
8025,
8027,
8029,
8031,
8033,
8035,
8037,
8039,
8041,
8043,
8045,
8047,
8049,
8051,
8053,
8055,
8057,
8059,
8061,
8063,
8065,
8067,
8069,
8071,
8073,
8075,
8077,
8079,
8081,
8083,
8085,
8087,
8089,
8091,
8093,
8095,
8097,
8099,
8101,
8103,
8105,
8107,
8109,
8111,2021-12-06
8113,
8115,
8117,2022-01-12
8119,
8121,
8123,
8125,
9001,2022-01-15
9003,2022-03-06
9005,2022-03-14
9007,2021-12-26
9009,2022-03-04
9011,2022-02-09
9013,2022-05-31
9015,2022-12-24
10001,2023-05-27
10003,2022-07-30
10005,2022-05-17
11001,2022-05-01
12001,2022-08-01
12003,
12005,2022-10-27
12007,
12009,2022-08-27
12011,2022-04-17
12013,
12015,2022-07-02
12017,2023-03-28
12019,2022-09-29
12021,2022-07-31
12023,2023-11-11
12027,2023-10-20
12029,
12031,2022-07-12
12033,2022-09-28
12035,2022-10-01
12037,2024-04-04
12039,2023-04-11
12041,2023-11-09
12043,
12045,2023-06-04
12047,
12049,
12051,2022-11-20
12053,2022-10-17
12055,2023-02-22
12057,2022-07-12
12059,
12061,2022-08-03
12063,2022-12-04
12065,2022-09-09
12067,
12069,2022-08-10
12071,2023-01-13
12073,2022-12-27
12075,2023-02-08
12077,
12079,
12081,2022-08-27
12083,2023-02-02
12085,2022-10-02
