FIPS,county_name,State_x,HESITANT_UNS,HESITANT_S,SVI,Hispanic,AIAN,Asian,Black,NHPI,White,County_x,State_y,POPDEN,County_y,Unemp_rate,REPUBLICAN,DEMOCRAT,OTHER,LIBERTARIAN,GREEN,Total,State,County,LHSD,HSD,CAD,BDH,Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct,Metro_status
1123,"Tallapoosa County, Alabama",ALABAMA,0.24,0.1383,0.89,0.0242,0.0022,0.0036,0.2697,0,0.6887,Tallapoosa County,Alabama,21.8969584604702,"Tallapoosa County, AL",6.9,0.7128293077985803,0.2791196226954409,0.008051069505978753,0.0,0.0,20991.0,AL,Tallapoosa County,19.34628677368164,32.70659637451172,29.504308700561523,18.442808151245117,2022-01-06,Tallapoosa County,AL,37.2,44.0,1
1121,"Talladega County, Alabama",ALABAMA,0.235,0.1368,0.87,0.0229,0.0043,0.0061,0.3237,0.0003,0.6263,Talladega County,Alabama,42.219157364741,"Talladega County, AL",7.0,0.623475310545944,0.3683930123657572,0.008131677088298797,0.0,0.0,35663.0,AL,Talladega County,19.670316696166992,33.72028732299805,31.64859962463379,14.960798263549805,2022-01-06,Talladega County,AL,35.1,42.9,1
1131,"Wilcox County, Alabama",ALABAMA,0.2357,0.1337,0.93,0.0053,0.0009,0.0003,0.6938,0,0.2684,Wilcox County,Alabama,4.69736954024345,"Wilcox County, AL",14.7,0.3105200745383703,0.6857530069456209,0.003726918516008809,0.0,0.0,5903.0,AL,Wilcox County,23.545122146606445,39.471466064453125,24.486927032470703,12.496485710144043,2022-01-06,Wilcox County,AL,50.4,64.3,1
1129,"Washington County, Alabama",ALABAMA,0.2357,0.1337,0.73,0.0146,0.0731,0.0025,0.2354,0,0.6495,Washington County,Alabama,5.94877180648605,"Washington County, AL",8.0,0.7395223073456512,0.254393871113114,0.00608382154123479,0.0,0.0,8876.0,AL,Washington County,17.371761322021484,43.06363296508789,26.89934730529785,12.66525650024414,2022-01-06,Washington County,AL,44.1,53.6,1
1133,"Winston County, Alabama",ALABAMA,0.2313,0.1379,0.7,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,Winston County,Alabama,15.038338282957,"Winston County, AL",4.7,0.9034916696207019,0.08631690889755406,0.010191421481744062,0.0,0.0,11284.0,AL,Winston County,21.187923431396484,38.21403503417969,27.76871109008789,12.829330444335938,2022-01-06,Winston County,AL,21.2,25.6,1
1127,"Walker County, Alabama",ALABAMA,0.2404,0.1431,0.75,0.0249,0.0015,0.0049,0.0617,0,0.8895,Walker County,Alabama,31.480176797023,"Walker County, AL",5.8,0.8341995508501765,0.15508501764517163,0.010715431504651908,0.0,0.0,31170.0,AL,Walker County,18.17917823791504,37.506141662597656,32.9708366394043,11.343843460083008,2022-01-06,Walker County,AL,45.1,54.2,0
2013,"Aleutians East Borough, Alaska",ALASKA,0.2884,0.1704,0.58,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,Aleutians East Borough,Alaska,0.18931798413723,"Aleutians East Borough, AK",4.0,0.6031375599636977,0.3456502009594192,0.006093608193958253,0.03993258135615195,0.005186049526772981,7713.0,AK,Aleutians East Borough,14.525994300842285,43.46330261230469,30.504587173461914,11.506115913391113,2022-01-06,Aleutians East Borough,AK,71.3,81.3,1
2016,"Aleutians West Census Area, Alaska",ALASKA,0.2884,0.1704,0.49,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,Aleutians West Census Area,Alaska,0.505471803211635,"Aleutians West Census Area, AK",4.5,0.43311160384331115,0.5264843557526484,0.0066518847006651885,0.025868440502586843,0.007883715200788372,8118.0,AK,Aleutians West Census Area,10.54034423828125,39.03561782836914,33.389869689941406,17.034164428710938,2022-01-06,Aleutians West Census Area,AK,58.8,69.3,1
1125,"Tuscaloosa County, Alabama",ALABAMA,0.2197,0.1205,0.63,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,Tuscaloosa County,Alabama,60.2784113409828,"Tuscaloosa County, AL",6.6,0.566883289712993,0.41881071729583463,0.014305992991172425,0.0,0.0,90172.0,AL,Tuscaloosa County,11.650755882263184,29.893999099731445,27.72439956665039,30.730846405029297,2022-01-06,Tuscaloosa County,AL,41.5,50.4,0
2050,"Bethel Census Area, Alaska",ALASKA,0.2884,0.1704,0.97,0.026,0.825,0.0108,0.0074,0.0022,0.0973,Bethel Census Area,Alaska,0.171435928666343,"Bethel Census Area, AK",11.6,,,,,,,AK,Bethel Census Area,19.089889526367188,46.42383575439453,22.60993766784668,11.876338958740234,2022-01-06,Bethel Census Area,AK,64.2,71.6,1
