FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
1001,398.5707882400295,326.67,438.23233,326.0,May-05-2022,Feb-22-2022,Jun-14-2022,Feb-22-2022,
1003,406.95353673925615,316.34,442.33557,326.0,Apr-19-2022,Jan-19-2022,May-25-2022,Jan-29-2022,
1005,403.44487068836804,279.79,339.51968,312.0,Feb-14-2022,Oct-13-2021,Dec-12-2021,Nov-15-2021,
1007,384.28559322967465,323.83,362.80084,341.0,Jan-27-2022,Nov-27-2021,Jan-05-2022,Dec-15-2021,
1009,417.28779961000885,328.16,456.16122,343.0,Feb-27-2022,Nov-30-2021,Apr-07-2022,Dec-15-2021,
1011,391.5255101991273,326.31,383.81113,341.0,Apr-04-2022,Jan-29-2022,Mar-27-2022,Feb-13-2022,
1013,323.6919912247252,294.12,322.44772,300.0,Dec-24-2021,Nov-25-2021,Dec-23-2021,Dec-01-2021,
1015,337.5532435574686,314.9,378.43845,341.0,Dec-24-2021,Dec-01-2021,Feb-03-2022,Dec-28-2021,
1017,400.5630457544832,314.3,432.8048,343.0,Feb-10-2022,Nov-16-2021,Mar-14-2022,Dec-15-2021,
1019,375.51986293970015,327.49,366.18777,356.0,Feb-22-2022,Jan-05-2022,Feb-13-2022,Feb-03-2022,
1021,429.50149750142475,307.97,440.9635,330.0,Jun-12-2022,Feb-10-2022,Jun-23-2022,Mar-05-2022,
1023,451.22833008664816,314.9,450.42627,341.0,Apr-08-2022,Nov-22-2021,Apr-07-2022,Dec-19-2021,
1025,446.4744141415829,328.2,415.1186,330.0,Mar-27-2022,Nov-29-2021,Feb-24-2022,Dec-01-2021,
1027,426.5281688513942,328.64,479.11597,330.0,May-16-2022,Feb-07-2022,Jul-08-2022,Feb-09-2022,
1029,428.3201896295624,319.49,442.58936,342.0,May-13-2022,Jan-24-2022,May-27-2022,Feb-16-2022,
1031,433.0896477770797,297.19,406.20905,330.0,Mar-21-2022,Nov-05-2021,Feb-22-2022,Dec-08-2021,
1033,451.736397342353,324.01,474.03268,338.0,Apr-04-2022,Nov-28-2021,Apr-27-2022,Dec-12-2021,
1035,401.898251565751,328.39,408.99576,330.0,Feb-13-2022,Dec-02-2021,Feb-20-2022,Dec-04-2021,
1037,465.3555197542527,308.49,185.34346,362.0,Apr-23-2022,Nov-17-2021,Jul-17-2021,Jan-10-2022,
1039,459.90355481740124,291.42,439.93893,338.0,Apr-11-2022,Oct-25-2021,Mar-22-2022,Dec-11-2021,
1041,399.2165172145492,317.27,458.58603,321.0,Mar-31-2022,Jan-08-2022,May-29-2022,Jan-12-2022,
1043,444.3128564442426,327.47,470.3117,353.0,Apr-26-2022,Dec-30-2021,May-22-2022,Jan-25-2022,
1045,434.9956500851579,307.85,466.7461,330.0,Mar-18-2022,Nov-11-2021,Apr-19-2022,Dec-04-2021,
