year,State,state_po,County,FIPS,party,candidatevotes,totalvotes
2000,ALABAMA,AL,AUTAUGA,1001,DEMOCRAT,4942,17208
2000,ALABAMA,AL,AUTAUGA,1001,REPUBLICAN,11993,17208
2000,ALABAMA,AL,AUTAUGA,1001,GREEN,160,17208
2000,ALABAMA,AL,AUTAUGA,1001,OTHER,113,17208
2000,ALABAMA,AL,BALDWIN,1003,DEMOCRAT,13997,56480
2000,ALABAMA,AL,BALDWIN,1003,REPUBLICAN,40872,56480
2000,ALABAMA,AL,BALDWIN,1003,GREEN,1033,56480
2000,ALABAMA,AL,BALDWIN,1003,OTHER,578,56480
2000,ALABAMA,AL,BARBOUR,1005,DEMOCRAT,5188,10395
2000,ALABAMA,AL,BARBOUR,1005,REPUBLICAN,5096,10395
2000,ALABAMA,AL,BARBOUR,1005,GREEN,46,10395
2000,ALABAMA,AL,BARBOUR,1005,OTHER,65,10395
2000,ALABAMA,AL,BIBB,1007,DEMOCRAT,2710,7101
2000,ALABAMA,AL,BIBB,1007,REPUBLICAN,4273,7101
2000,ALABAMA,AL,BIBB,1007,GREEN,52,7101
2000,ALABAMA,AL,BIBB,1007,OTHER,66,7101
2000,ALABAMA,AL,BLOUNT,1009,DEMOCRAT,4977,17973
2000,ALABAMA,AL,BLOUNT,1009,REPUBLICAN,12667,17973
2000,ALABAMA,AL,BLOUNT,1009,GREEN,154,17973
2000,ALABAMA,AL,BLOUNT,1009,OTHER,175,17973
2000,ALABAMA,AL,BULLOCK,1011,DEMOCRAT,3395,4904
2000,ALABAMA,AL,BULLOCK,1011,REPUBLICAN,1433,4904
2000,ALABAMA,AL,BULLOCK,1011,GREEN,24,4904
2000,ALABAMA,AL,BULLOCK,1011,OTHER,52,4904
2000,ALABAMA,AL,BUTLER,1013,DEMOCRAT,3606,7803
2000,ALABAMA,AL,BUTLER,1013,REPUBLICAN,4127,7803
2000,ALABAMA,AL,BUTLER,1013,GREEN,36,7803
2000,ALABAMA,AL,BUTLER,1013,OTHER,34,7803
2000,ALABAMA,AL,CALHOUN,1015,DEMOCRAT,15781,38909
2000,ALABAMA,AL,CALHOUN,1015,REPUBLICAN,22306,38909
2000,ALABAMA,AL,CALHOUN,1015,GREEN,481,38909
2000,ALABAMA,AL,CALHOUN,1015,OTHER,341,38909
2000,ALABAMA,AL,CHAMBERS,1017,DEMOCRAT,5616,11834
2000,ALABAMA,AL,CHAMBERS,1017,REPUBLICAN,6037,11834
2000,ALABAMA,AL,CHAMBERS,1017,GREEN,95,11834
2000,ALABAMA,AL,CHAMBERS,1017,OTHER,86,11834
2000,ALABAMA,AL,CHEROKEE,1019,DEMOCRAT,3497,7823
2000,ALABAMA,AL,CHEROKEE,1019,REPUBLICAN,4154,7823
2000,ALABAMA,AL,CHEROKEE,1019,GREEN,77,7823
2000,ALABAMA,AL,CHEROKEE,1019,OTHER,95,7823
2000,ALABAMA,AL,CHILTON,1021,DEMOCRAT,4806,15092
2000,ALABAMA,AL,CHILTON,1021,REPUBLICAN,10066,15092
2000,ALABAMA,AL,CHILTON,1021,GREEN,92,15092
2000,ALABAMA,AL,CHILTON,1021,OTHER,128,15092
2000,ALABAMA,AL,CHOCTAW,1023,DEMOCRAT,3707,7374
2000,ALABAMA,AL,CHOCTAW,1023,REPUBLICAN,3600,7374
2000,ALABAMA,AL,CHOCTAW,1023,GREEN,33,7374
2000,ALABAMA,AL,CHOCTAW,1023,OTHER,34,7374
2000,ALABAMA,AL,CLARKE,1025,DEMOCRAT,4679,10752
2000,ALABAMA,AL,CLARKE,1025,REPUBLICAN,5988,10752
2000,ALABAMA,AL,CLARKE,1025,GREEN,33,10752
2000,ALABAMA,AL,CLARKE,1025,OTHER,52,10752
2000,ALABAMA,AL,CLAY,1027,DEMOCRAT,2045,5883
2000,ALABAMA,AL,CLAY,1027,REPUBLICAN,3719,5883
2000,ALABAMA,AL,CLAY,1027,GREEN,52,5883
2000,ALABAMA,AL,CLAY,1027,OTHER,67,5883
2000,ALABAMA,AL,CLEBURNE,1029,DEMOCRAT,1664,5092
2000,ALABAMA,AL,CLEBURNE,1029,REPUBLICAN,3333,5092
2000,ALABAMA,AL,CLEBURNE,1029,GREEN,39,5092
2000,ALABAMA,AL,CLEBURNE,1029,OTHER,56,5092
2000,ALABAMA,AL,COFFEE,1031,DEMOCRAT,5220,15434
2000,ALABAMA,AL,COFFEE,1031,REPUBLICAN,9938,15434
2000,ALABAMA,AL,COFFEE,1031,GREEN,155,15434
2000,ALABAMA,AL,COFFEE,1031,OTHER,121,15434
2000,ALABAMA,AL,COLBERT,1033,DEMOCRAT,10543,21532
2000,ALABAMA,AL,COLBERT,1033,REPUBLICAN,10518,21532
2000,ALABAMA,AL,COLBERT,1033,GREEN,208,21532
2000,ALABAMA,AL,COLBERT,1033,OTHER,263,21532
2000,ALABAMA,AL,CONECUH,1035,DEMOCRAT,2783,5551
2000,ALABAMA,AL,CONECUH,1035,REPUBLICAN,2699,5551
2000,ALABAMA,AL,CONECUH,1035,GREEN,35,5551
2000,ALABAMA,AL,CONECUH,1035,OTHER,34,5551
2000,ALABAMA,AL,COOSA,1037,DEMOCRAT,2104,4567
2000,ALABAMA,AL,COOSA,1037,REPUBLICAN,2382,4567
2000,ALABAMA,AL,COOSA,1037,GREEN,34,4567
2000,ALABAMA,AL,COOSA,1037,OTHER,47,4567
2000,ALABAMA,AL,COVINGTON,1039,DEMOCRAT,4440,13613
2000,ALABAMA,AL,COVINGTON,1039,REPUBLICAN,8961,13613
2000,ALABAMA,AL,COVINGTON,1039,GREEN,123,13613
2000,ALABAMA,AL,COVINGTON,1039,OTHER,89,13613
2000,ALABAMA,AL,CRENSHAW,1041,DEMOCRAT,1934,4795
2000,ALABAMA,AL,CRENSHAW,1041,REPUBLICAN,2793,4795
2000,ALABAMA,AL,CRENSHAW,1041,GREEN,40,4795
2000,ALABAMA,AL,CRENSHAW,1041,OTHER,28,4795
2000,ALABAMA,AL,CULLMAN,1043,DEMOCRAT,9758,29525
2000,ALABAMA,AL,CULLMAN,1043,REPUBLICAN,19157,29525
2000,ALABAMA,AL,CULLMAN,1043,GREEN,282,29525
2000,ALABAMA,AL,CULLMAN,1043,OTHER,328,29525
2000,ALABAMA,AL,DALE,1045,DEMOCRAT,4906,15806
2000,ALABAMA,AL,DALE,1045,REPUBLICAN,10593,15806
2000,ALABAMA,AL,DALE,1045,GREEN,188,15806
2000,ALABAMA,AL,DALE,1045,OTHER,119,15806
2000,ALABAMA,AL,DALLAS,1047,DEMOCRAT,10967,18464
2000,ALABAMA,AL,DALLAS,1047,REPUBLICAN,7360,18464
2000,ALABAMA,AL,DALLAS,1047,GREEN,63,18464
2000,ALABAMA,AL,DALLAS,1047,OTHER,74,18464
2000,ALABAMA,AL,DEKALB,1049,DEMOCRAT,7056,20285
2000,ALABAMA,AL,DEKALB,1049,REPUBLICAN,12827,20285
2000,ALABAMA,AL,DEKALB,1049,GREEN,175,20285
2000,ALABAMA,AL,DEKALB,1049,OTHER,227,20285
2000,ALABAMA,AL,ELMORE,1051,DEMOCRAT,6652,23804
2000,ALABAMA,AL,ELMORE,1051,REPUBLICAN,16777,23804
2000,ALABAMA,AL,ELMORE,1051,GREEN,212,23804
2000,ALABAMA,AL,ELMORE,1051,OTHER,163,23804
2000,ALABAMA,AL,ESCAMBIA,1053,DEMOCRAT,4523,11660
2000,ALABAMA,AL,ESCAMBIA,1053,REPUBLICAN,6975,11660
2000,ALABAMA,AL,ESCAMBIA,1053,GREEN,78,11660
2000,ALABAMA,AL,ESCAMBIA,1053,OTHER,84,11660
2000,ALABAMA,AL,ETOWAH,1055,DEMOCRAT,17433,39348
2000,ALABAMA,AL,ETOWAH,1055,REPUBLICAN,21087,39348
2000,ALABAMA,AL,ETOWAH,1055,GREEN,435,39348
2000,ALABAMA,AL,ETOWAH,1055,OTHER,393,39348
2000,ALABAMA,AL,FAYETTE,1057,DEMOCRAT,3064,7808
2000,ALABAMA,AL,FAYETTE,1057,REPUBLICAN,4582,7808
2000,ALABAMA,AL,FAYETTE,1057,GREEN,60,7808
2000,ALABAMA,AL,FAYETTE,1057,OTHER,102,7808
2000,ALABAMA,AL,FRANKLIN,1059,DEMOCRAT,4793,11103
2000,ALABAMA,AL,FRANKLIN,1059,REPUBLICAN,6119,11103
2000,ALABAMA,AL,FRANKLIN,1059,GREEN,72,11103
2000,ALABAMA,AL,FRANKLIN,1059,OTHER,119,11103
2000,ALABAMA,AL,GENEVA,1061,DEMOCRAT,2769,9559
2000,ALABAMA,AL,GENEVA,1061,REPUBLICAN,6588,9559
2000,ALABAMA,AL,GENEVA,1061,GREEN,97,9559
2000,ALABAMA,AL,GENEVA,1061,OTHER,105,9559
2000,ALABAMA,AL,GREENE,1063,DEMOCRAT,3504,4396
2000,ALABAMA,AL,GREENE,1063,REPUBLICAN,850,4396
2000,ALABAMA,AL,GREENE,1063,GREEN,24,4396
2000,ALABAMA,AL,GREENE,1063,OTHER,18,4396
2000,ALABAMA,AL,HALE,1065,DEMOCRAT,4652,7731
2000,ALABAMA,AL,HALE,1065,REPUBLICAN,2984,7731
2000,ALABAMA,AL,HALE,1065,GREEN,43,7731
2000,ALABAMA,AL,HALE,1065,OTHER,52,7731
2000,ALABAMA,AL,HENRY,1067,DEMOCRAT,2782,6932
2000,ALABAMA,AL,HENRY,1067,REPUBLICAN,4054,6932
2000,ALABAMA,AL,HENRY,1067,GREEN,48,6932
2000,ALABAMA,AL,HENRY,1067,OTHER,48,6932
2000,ALABAMA,AL,HOUSTON,1069,DEMOCRAT,9412,32057
2000,ALABAMA,AL,HOUSTON,1069,REPUBLICAN,22150,32057
2000,ALABAMA,AL,HOUSTON,1069,GREEN,257,32057
2000,ALABAMA,AL,HOUSTON,1069,OTHER,238,32057
2000,ALABAMA,AL,JACKSON,1071,DEMOCRAT,9066,17906
2000,ALABAMA,AL,JACKSON,1071,REPUBLICAN,8475,17906
2000,ALABAMA,AL,JACKSON,1071,GREEN,184,17906
2000,ALABAMA,AL,JACKSON,1071,OTHER,181,17906
2000,ALABAMA,AL,JEFFERSON,1073,DEMOCRAT,129889,273763
2000,ALABAMA,AL,JEFFERSON,1073,REPUBLICAN,138491,273763
2000,ALABAMA,AL,JEFFERSON,1073,GREEN,3393,273763
2000,ALABAMA,AL,JEFFERSON,1073,OTHER,1990,273763
2000,ALABAMA,AL,LAMAR,1075,DEMOCRAT,2653,7249
2000,ALABAMA,AL,LAMAR,1075,REPUBLICAN,4470,7249
2000,ALABAMA,AL,LAMAR,1075,GREEN,57,7249
2000,ALABAMA,AL,LAMAR,1075,OTHER,69,7249
2000,ALABAMA,AL,LAUDERDALE,1077,DEMOCRAT,13875,32137
2000,ALABAMA,AL,LAUDERDALE,1077,REPUBLICAN,17478,32137
2000,ALABAMA,AL,LAUDERDALE,1077,GREEN,354,32137
2000,ALABAMA,AL,LAUDERDALE,1077,OTHER,430,32137
